arm,family,n,vus_pr,auprc,vus_roc
OFFICIAL_BEST,Exathlon,1,0.9326110939511818,0.9150291702752658,0.9957381857851286
OFFICIAL_BEST,IOPS,1,0.2651121474222908,0.995238095238095,0.9985107045743055
OFFICIAL_BEST,NAB,1,0.8543104140487928,0.89050064833046,0.9875916355130828
OFFICIAL_BEST,SMAP,1,0.5338618901188367,0.5204767461047308,0.8614661696583398
OFFICIAL_BEST,SMD,1,0.4208203340726381,0.5021476461230123,0.8997816988898374
OFFICIAL_BEST,SWaT,1,0.3138044671230591,0.27305240299315503,0.7150834156961793
OFFICIAL_LAST,Exathlon,1,0.9142756693196494,0.8956148125667166,0.9949772811760355
OFFICIAL_LAST,IOPS,1,0.2651121474222908,0.9745225013082155,0.9985107045743055
OFFICIAL_LAST,NAB,1,0.9103884393884261,0.9259409676898271,0.9930309129592977
OFFICIAL_LAST,SMAP,1,0.7791216762965509,0.7619648747985964,0.9608134957467547
OFFICIAL_LAST,SMD,1,0.16160348984245124,0.20027628613378387,0.8386002263735708
OFFICIAL_LAST,SWaT,1,0.3443739501385077,0.2864663132198232,0.7834086495197169
PAPERNEG_BEST,Exathlon,1,0.9286933492821753,0.9107733207783211,0.9956138770400865
PAPERNEG_BEST,IOPS,1,0.2651121474222908,0.995238095238095,0.9985107045743055
PAPERNEG_BEST,NAB,1,0.8566029288374551,0.8923329672564124,0.9877982537615594
PAPERNEG_BEST,SMAP,1,0.4818600760639133,0.47016598549145855,0.8078193002434602
PAPERNEG_BEST,SMD,1,0.39732282099744404,0.4697488667749534,0.902544555797954
PAPERNEG_BEST,SWaT,1,0.31128265813532113,0.2711746761248902,0.713960581562212
PAPERNEG_LAST,Exathlon,1,0.9065360589379635,0.8885691202518787,0.9946742042730974
PAPERNEG_LAST,IOPS,1,0.2651121474222908,0.9952380952380953,0.9985107045743055
PAPERNEG_LAST,NAB,1,0.9120843120013913,0.9278532000424566,0.9931903683025424
PAPERNEG_LAST,SMAP,1,0.46305061615628157,0.4515666128978113,0.7946326837747261
PAPERNEG_LAST,SMD,1,0.15559944660593536,0.19395938386583403,0.832153778028977
PAPERNEG_LAST,SWaT,1,0.34573851777604575,0.28646521658298035,0.7833978107381748
PAPERNEG_NONOVERLAP_BEST,Exathlon,1,0.9222999973732132,0.9044446907248217,0.9953486961684774
PAPERNEG_NONOVERLAP_BEST,IOPS,1,0.2651121474222908,0.9952380952380951,0.9985107045743055
PAPERNEG_NONOVERLAP_BEST,NAB,1,0.9043338875059782,0.9213967289518727,0.992541450754511
PAPERNEG_NONOVERLAP_BEST,SMAP,1,0.4258213631474609,0.41311063372260265,0.7048219245089921
PAPERNEG_NONOVERLAP_BEST,SMD,1,0.3481104391210325,0.4144050685611074,0.90200783978324
PAPERNEG_NONOVERLAP_BEST,SWaT,1,0.2954205915927353,0.25749999248749494,0.715131525418338
PAPERNEG_NONOVERLAP_LAST,Exathlon,1,0.8978567470117802,0.8803754747986849,0.994267110865203
PAPERNEG_NONOVERLAP_LAST,IOPS,1,0.2651121474222908,0.9952380952380953,0.9985107045743055
PAPERNEG_NONOVERLAP_LAST,NAB,1,0.9100568867264052,0.9258253178517544,0.992995324137068
PAPERNEG_NONOVERLAP_LAST,SMAP,1,0.41329143073510943,0.4044123005662263,0.763485571542445
PAPERNEG_NONOVERLAP_LAST,SMD,1,0.14414835392138012,0.17622786058988524,0.8316489365089531
PAPERNEG_NONOVERLAP_LAST,SWaT,1,0.34601004563234566,0.286301936586025,0.7921818883325513
RAND_BN_BN_CALIBRATED,Exathlon,1,0.9281680886932695,0.9096676148988521,0.9958939447948282
RAND_BN_BN_CALIBRATED,IOPS,1,0.2651121474222908,1.0,0.9985107045743055
RAND_BN_BN_CALIBRATED,NAB,1,0.8565060553964748,0.8913232977428089,0.9871948464090797
RAND_BN_BN_CALIBRATED,SMAP,1,0.9025037300794302,0.8872101025021257,0.9663385586483425
RAND_BN_BN_CALIBRATED,SMD,1,0.19608518175872447,0.22714445895469848,0.8666295247995328
RAND_BN_BN_CALIBRATED,SWaT,1,0.3636981203756213,0.30309013236833593,0.7915350261992157
