contrast,series_id,family,seed,treatment,control,delta_vus_pr,delta_auprc,delta_vus_roc
checkpoint,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,2027,OFFICIAL_LAST,OFFICIAL_BEST,0.05607802533963324,0.03544031935936709,0.005439277446214863
checkpoint,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,2027,OFFICIAL_LAST,OFFICIAL_BEST,-0.25921684423018687,-0.3018713599892284,-0.0611814725162666
checkpoint,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,2027,OFFICIAL_LAST,OFFICIAL_BEST,0.24525978617771427,0.2414881286938656,0.0993473260884149
checkpoint,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,2027,OFFICIAL_LAST,OFFICIAL_BEST,0.030569483015448595,0.013413910226668158,0.06832523382353761
checkpoint,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,2027,OFFICIAL_LAST,OFFICIAL_BEST,-0.01833542463153237,-0.019414357708549157,-0.0007609046090931715
checkpoint,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,2027,OFFICIAL_LAST,OFFICIAL_BEST,0.0,-0.02071559392987954,0.0
paper_negative,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,2027,PAPERNEG_LAST,OFFICIAL_LAST,0.0016958726129652213,0.0019122323526294949,0.00015945534324468547
paper_negative,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,2027,PAPERNEG_LAST,OFFICIAL_LAST,-0.006004043236515877,-0.006316902267949842,-0.006446448344593736
paper_negative,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,2027,PAPERNEG_LAST,OFFICIAL_LAST,-0.31607106014026937,-0.3103982619007851,-0.1661808119720286
paper_negative,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,2027,PAPERNEG_LAST,OFFICIAL_LAST,0.001364567637538061,-1.096636842834453e-06,-1.08387815420663e-05
paper_negative,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,2027,PAPERNEG_LAST,OFFICIAL_LAST,-0.007739610381685913,-0.00704569231483787,-0.0003030769029380709
paper_negative,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,2027,PAPERNEG_LAST,OFFICIAL_LAST,0.0,0.02071559392987976,0.0
overlap,001_NAB_id_1_Facility_tr_1007_1st_2014,NAB,2027,PAPERNEG_NONOVERLAP_LAST,PAPERNEG_LAST,-0.0020274252749861166,-0.002027882190702268,-0.000195044165474334
overlap,057_SMD_id_1_Facility_tr_4529_1st_4629,SMD,2027,PAPERNEG_NONOVERLAP_LAST,PAPERNEG_LAST,-0.011451092684555242,-0.01773152327594879,-0.0005048415200239464
overlap,144_SMAP_id_1_Sensor_tr_2052_1st_5300,SMAP,2027,PAPERNEG_NONOVERLAP_LAST,PAPERNEG_LAST,-0.049759185421172136,-0.04715431233158501,-0.03114711223228106
overlap,171_SWaT_id_1_Sensor_tr_3749_1st_9522,SWaT,2027,PAPERNEG_NONOVERLAP_LAST,PAPERNEG_LAST,0.0002715278562999135,-0.00016327999695536777,0.008784077594376494
overlap,174_Exathlon_id_1_Facility_tr_10766_1st_12590,Exathlon,2027,PAPERNEG_NONOVERLAP_LAST,PAPERNEG_LAST,-0.00867931192618332,-0.008193645453193787,-0.00040709340789435444
overlap,260_IOPS_id_1_WebService_tr_5000_1st_11804,IOPS,2027,PAPERNEG_NONOVERLAP_LAST,PAPERNEG_LAST,0.0,0.0,0.0
