display_name,arm,ihp,nctp,metric,value_status,is_final,NAB,NASA,YAHOO,equal11,fileweighted
REL,IHP0_NCTP0,0,0,F1-max,local_same_protocol_corrected_primary,False,0.5944960974697817,0.7349944604661585,0.6528392471989122,0.6412569451888068,0.663640136434472
IHP only,IHP1_NCTP0,1,0,F1-max,local_same_protocol_corrected_primary,False,0.6495468430205272,0.7224053011277535,0.6640280327293834,0.6680597225705162,0.6715098251649675
NCTP only,IHP0_NCTP1,0,1,F1-max,local_same_protocol_corrected_primary,False,0.6718738008023722,0.7448387516631216,0.6642984048963633,0.6823854660839598,0.6796253519608424
IHP + NCTP,IHP1_NCTP1,1,1,F1-max,local_same_protocol_corrected_primary,True,0.6822994723530438,0.7206143142954192,0.6793475995246707,0.6881923989504309,0.688329294934311
REL,IHP0_NCTP0,0,0,AUPRC,local_same_protocol_corrected_primary,False,0.3423997815878329,0.4888045566071547,0.1531229848218399,0.3001909054946213,0.2197918896881683
IHP only,IHP1_NCTP0,1,0,AUPRC,local_same_protocol_corrected_primary,False,0.3450097282764108,0.5083256877838234,0.2008296958507561,0.3222744363957023,0.2558369186286833
NCTP only,IHP0_NCTP1,0,1,AUPRC,local_same_protocol_corrected_primary,False,0.4339954370711553,0.5384594297712042,0.1199567561274882,0.3387930063098307,0.2110417537961553
IHP + NCTP,IHP1_NCTP1,1,1,AUPRC,local_same_protocol_corrected_primary,True,0.4246776446611863,0.5587356589195436,0.1386057185667958,0.345025674128382,0.225995083382932
REL,IHP0_NCTP0,0,0,VUS-PR,local_same_protocol_corrected_primary,False,0.7055681386467796,0.4853484626303164,0.785305940730246,0.6945237619468648,0.7371412637379013
IHP only,IHP1_NCTP0,1,0,VUS-PR,local_same_protocol_corrected_primary,False,0.7123441606885157,0.4820201702118565,0.8064303773141286,0.7046802411929823,0.7513170141084401
NCTP only,IHP0_NCTP1,0,1,VUS-PR,local_same_protocol_corrected_primary,False,0.7369707233539049,0.4956992354165211,0.7954158379221273,0.7143559490264615,0.7496878973298549
IHP + NCTP,IHP1_NCTP1,1,1,VUS-PR,local_same_protocol_corrected_primary,True,0.7345810327836894,0.4969427530630119,0.8167291850401449,0.7212461282004591,0.7636901586836733
