case_order,case_role,series_id,interval_id,start_index,end_index,start_time,end_time,uses_evaluator_labels,oracle_visualization_only
0,representative_positive,YAHOOA4__A4Benchmark-TS92,0,176,176,177.0,177.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,1,373,373,374.0,374.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,2,609,609,610.0,610.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,3,651,651,652.0,652.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,4,689,689,690.0,690.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,5,781,781,782.0,782.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,6,791,791,792.0,792.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,7,861,861,862.0,862.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,8,863,863,864.0,864.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,9,1018,1018,1019.0,1019.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,10,1035,1035,1036.0,1036.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,11,1171,1171,1172.0,1172.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,12,1277,1277,1278.0,1278.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,13,1468,1468,1469.0,1469.0,True,False
0,representative_positive,YAHOOA4__A4Benchmark-TS92,14,1564,1564,1565.0,1565.0,True,False
1,representative_failure,YAHOOA1__real_52,0,358,359,359.0,360.0,True,False
1,representative_failure,YAHOOA1__real_52,1,778,779,779.0,780.0,True,False
1,representative_failure,YAHOOA1__real_52,2,1066,1066,1067.0,1067.0,True,False
1,representative_failure,YAHOOA1__real_52,3,1244,1249,1245.0,1250.0,True,False
