display_name,local_arm,external_paper_arm,family,metric,local_value,external_paper_value,descriptive_delta,local_value_status,external_value_status,comparison_status,paired_ci_applicable
w/o patch-level embedding,CTRL_CLS_LEGACY,w/o patch-level embedding,NAB,F1-max,0.5731049188906331,0.519,0.05410491889063307,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o patch-level embedding,CTRL_CLS_LEGACY,w/o patch-level embedding,NASA,F1-max,0.6072460151076503,0.578,0.029246015107650347,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o patch-level embedding,CTRL_CLS_LEGACY,w/o patch-level embedding,YAHOO,F1-max,0.5003239580190023,0.541,-0.040676041980997724,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o cross-patch comparison,MATCH_FINAL_POSITION,w/o cross-patch comparison,NAB,F1-max,0.64741385003885,0.504,0.14341385003885,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o cross-patch comparison,MATCH_FINAL_POSITION,w/o cross-patch comparison,NASA,F1-max,0.7319728652537878,0.613,0.11897286525378781,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o cross-patch comparison,MATCH_FINAL_POSITION,w/o cross-patch comparison,YAHOO,F1-max,0.5422070751960517,0.514,0.0282070751960517,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o column-wise comparison,MATCH_FINAL_ROW,w/o column-wise comparison,NAB,F1-max,0.6814531024531023,0.523,0.1584531024531023,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o column-wise comparison,MATCH_FINAL_ROW,w/o column-wise comparison,NASA,F1-max,0.7251566528820197,0.624,0.1011566528820197,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o column-wise comparison,MATCH_FINAL_ROW,w/o column-wise comparison,YAHOO,F1-max,0.5506611683728038,0.565,-0.01433883162719618,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o multi-scale embedding,SCALE_P,w/o multi-scale embedding,NAB,F1-max,0.6649454740394182,0.534,0.13094547403941814,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o multi-scale embedding,SCALE_P,w/o multi-scale embedding,NASA,F1-max,0.6888686068830954,0.582,0.10686860688309541,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
w/o multi-scale embedding,SCALE_P,w/o multi-scale embedding,YAHOO,F1-max,0.6862206190477065,0.677,0.009220619047706435,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
Full method,FINAL_DEFAULT,ViT4TS (ours),NAB,F1-max,0.6822994723530438,0.555,0.12729947235304373,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
Full method,FINAL_DEFAULT,ViT4TS (ours),NASA,F1-max,0.7206143142954192,0.635,0.08561431429541921,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
Full method,FINAL_DEFAULT,ViT4TS (ours),YAHOO,F1-max,0.6793475995246707,0.671,0.008347599524670679,local_same_protocol_corrected_primary,exact_paper_reported,descriptive_external_only_no_paired_ci,False
