"bibtex_key","role","canonical_source_url","source_type","verification_status","caveat"
"park2026paano","frozen baseline; PaAno Tables 2 and 3 comparator","https://openreview.net/forum?id=NXThkM7Iym","official OpenReview conference record","verified_primary_crosschecked","Accepted ICLR 2026; cross-checked against the official ICLR 2026 poster. Comparator values remain PaAno-paper-reported unless locally reproduced."
"park2026paano_code","frozen baseline implementation provenance","https://github.com/jinnnju/PaAno/tree/d4c67116190efa4592dc6a8a157ced0def68b6af","official GitHub immutable commit","verified_primary_commit","The commit exists through the GitHub API; it supports implementation provenance rather than independent validation of paper claims."
"zhang2026pai","nearest amplitude-preservation related work","https://arxiv.org/abs/2606.08935","arXiv primary preprint","verified_primary_preprint_only","Submitted June 2026; no peer-reviewed venue was found, so it must be described as a preprint."
"liu2024elephant","benchmark and evaluation protocol","https://proceedings.neurips.cc/paper_files/paper/2024/hash/c3f3c690b7a99fba16d0efd35cb83b2c-Abstract-Datasets_and_Benchmarks_Track.html","official NeurIPS proceedings","verified_primary","Primary source for TSB-AD and its comparator wrappers; paper-reported comparator values are not local reproductions."
"pmlr-v235-sarfraz24a","evaluation-reliability related work","https://proceedings.mlr.press/v235/sarfraz24a.html","official PMLR proceedings","verified_primary","Position paper supporting rigorous TSAD evaluation and strong simple baselines."
"liu2024timesurl","representation-learning related work","https://doi.org/10.1609/aaai.v38i12.29299","AAAI publisher DOI record","verified_primary","Related-work citation; not a PaAno Table 2 or 3 result row."
"lee2024softclt","contrastive representation-learning related work","https://proceedings.iclr.cc/paper_files/paper/2024/hash/ccc48eade8845cbc0b44384e8c49889a-Abstract-Conference.html","official ICLR proceedings","verified_primary","Published pages 46815--46839."
"dave2024nomore","temporal self-supervision mechanism related work","https://doi.org/10.1609/aaai.v38i2.27913","AAAI publisher DOI record","verified_primary","Disambiguated from unrelated similarly titled papers."
"shentu2025towards","general TSAD related work; PaAno Tables 2 and 3 comparator","https://proceedings.iclr.cc/paper_files/paper/2025/hash/ca7998666c2e53cc1e882b7268414d8a-Abstract-Conference.html","official ICLR proceedings","verified_primary","Published pages 81358--81381. Table values remain PaAno-paper-reported."
"sun2025igad","recent mechanism-first TSAD related work","https://proceedings.neurips.cc/paper_files/paper/2025/hash/ebba26f4dbcfe7318e4a263c54e9cf42-Abstract-Conference.html","official NeurIPS proceedings","verified_primary","Published pages 160900--160958."
"li2025crossad","recent cross-scale TSAD related work","https://proceedings.neurips.cc/paper_files/paper/2025/hash/c9658e8c20879632cb1cfca91d80ceb7-Abstract-Conference.html","official NeurIPS proceedings","verified_primary","Published pages 137959--137985."
"xing2026doknowad","normal-representation calibration related work","https://doi.org/10.1609/aaai.v40i32.39927","AAAI publisher DOI record","verified_primary","Peer-reviewed AAAI 2026 paper; pages 27126--27134."
"aggarwal2017outlier","PaAno Tables 2 and 3 PCA and Sub-PCA source","https://link.springer.com/book/10.1007/978-3-319-47578-3","official Springer book page","verified_primary_with_mapping_caveat","Canonical statistical source, not the exact TSB-AD wrapper. Table values remain PaAno-paper-reported."
"paparrizos2017fast","PaAno Table 2 KShapeAD source","https://doi.org/10.1145/3044711","ACM publisher DOI record","verified_primary_with_mapping_caveat","Source is the clustering algorithm; the anomaly-detection wrapper is from TSB-AD."
"zeng2023transformers","PaAno Tables 2 and 3 DLinear and NLinear source","https://doi.org/10.1609/aaai.v37i9.26317","AAAI publisher DOI record","verified_primary_with_mapping_caveat","One publication maps to both DLinear and NLinear rows; benchmark adaptation and values are PaAno/TSB-AD provenance."
"yairi2001fault","PaAno Table 3 KMeansAD source","https://robotics.estec.esa.int/i-SAIRAS/isairas2001/papers/Paper_AS012.pdf","official ESA venue-hosted paper PDF","verified_primary_with_mapping_caveat","The exact KMeansAD wrapper is inherited from TSB-AD."
"munir2019deepant","PaAno Tables 2 and 3 comparator","https://doi.org/10.1109/ACCESS.2018.2886457","IEEE publisher DOI record","verified_primary","Formal publication year is 2019 although the DOI was minted in 2018. Values are PaAno-paper-reported."
"audibert2020usad","PaAno Table 2 comparator","https://doi.org/10.1145/3394486.3403392","ACM publisher DOI record","verified_primary","Table values remain PaAno-paper-reported."
"su2019omnianomaly","PaAno Table 3 comparator","https://doi.org/10.1145/3292500.3330672","ACM publisher DOI record","verified_primary","Table values remain PaAno-paper-reported."
"wu2023timesnet","PaAno Tables 2 and 3 comparator","https://openreview.net/forum?id=ju_Uqw384Oq","official OpenReview ICLR record","verified_primary","Use formal ICLR 2023 year rather than PaAno's preprint-year label."
"xu2024fits","PaAno Tables 2 and 3 comparator","https://proceedings.iclr.cc/paper_files/paper/2024/hash/701251e1db4a2e4dd2ef23f5265d5936-Abstract-Conference.html","official ICLR proceedings","verified_primary","Zhijian Xu and formal ICLR 2024 year verified; pages 26295--26318."
"pmlr-v267-zhou25u","PaAno Tables 2 and 3 comparator","https://proceedings.mlr.press/v267/zhou25u.html","official PMLR proceedings","verified_primary","Official ICML 2025 metadata verified. Values remain PaAno-paper-reported."
"xu2022anomalytransformer","PaAno Tables 2 and 3 comparator","https://openreview.net/forum?id=LzQQ89U1qm_","official OpenReview ICLR record","verified_primary","Use formal ICLR 2022 year. Values remain PaAno-paper-reported."
"yang2023dcdetector","PaAno Tables 2 and 3 comparator","https://doi.org/10.1145/3580305.3599295","ACM publisher DOI record","verified_primary","Official KDD 2023 metadata verified. Values remain PaAno-paper-reported."
"rasul2023lagllama","PaAno Table 2 comparator","https://openreview.net/forum?id=jYluzCLFDM","official OpenReview workshop record","verified_primary_with_venue_caveat","NeurIPS 2023 R0-FoMo workshop paper, not a NeurIPS main-track paper."
"zhou2023onefitsall","PaAno Tables 2 and 3 OFA comparator","https://proceedings.neurips.cc/paper_files/paper/2023/hash/86c17de05579cde52025f9984e6e2ebb-Abstract-Conference.html","official NeurIPS proceedings","verified_primary","Paper title is One Fits All; GPT4TS is an implementation alias and not the literal PaAno table name."
"nie2023patchtst","PaAno Tables 2 and 3 comparator; patch-model related work","https://openreview.net/forum?id=Jbdc0vTOcol","official OpenReview ICLR record","verified_primary","Forecasting model adapted by the benchmark; values remain PaAno-paper-reported."
"liu2024itransformer","PaAno Tables 2 and 3 comparator","https://proceedings.iclr.cc/paper_files/paper/2024/hash/2ea18fdc667e0ef2ad82b2b4d65147ad-Abstract-Conference.html","official ICLR proceedings","verified_primary","Published pages 11116--11140. Benchmark adaptation and values are PaAno/TSB-AD provenance."
"pmlr-v235-goswami24a","PaAno Table 2 MOMENT-FT and MOMENT-ZS source","https://proceedings.mlr.press/v235/goswami24a.html","official PMLR proceedings","verified_primary","One paper maps to both modes; official author metadata replaces PaAno's erroneous entry."
"pmlr-v235-das24c","PaAno Table 2 TimesFM source","https://proceedings.mlr.press/v235/das24c.html","official PMLR proceedings","verified_primary","Official author metadata replaces PaAno's erroneous entry."
"wu2025catch","PaAno Table 3 comparator; multivariate TSAD related work","https://proceedings.iclr.cc/paper_files/paper/2025/hash/2b25c39788e5cf11d3541de433ebf4c0-Abstract-Conference.html","official ICLR proceedings","verified_primary","Published pages 17017--17045. Table values remain PaAno-paper-reported."
"paparrizos2022vus","primary VUS metric provenance","https://doi.org/10.14778/3551793.3551830","official PVLDB DOI record","verified_primary","Primary source for VUS-PR and VUS-ROC; not a model comparator."
"kim2022rigorous","strict TSAD evaluation related work","https://doi.org/10.1609/aaai.v36i7.20680","AAAI publisher DOI record","verified_primary","Supports no-point-adjustment and rigorous-evaluation discussion."
"kim2022revin","normalization-module provenance","https://openreview.net/forum?id=cGDAkQo1C0p","official OpenReview ICLR record","verified_primary","Cite only when discussing the RevIN component inherited from the frozen implementation."
"yue2022ts2vec","foundational contrastive representation-learning related work","https://doi.org/10.1609/aaai.v36i8.20881","AAAI publisher DOI record","verified_primary","Foundational citation; excluded from recent-work narrative unless needed for lineage."
